latitude,longitude,altitude,geometry,Name,description
45.93014,13.64193,,Point,Šempeter pri Gorici,5290
46.257034,15.114784,,Point,Šempeter v Savinjski Dolini,3311
46.246825,14.416122,,Point,Šenčur,4208
46.679359,15.656548,,Point,Šentilj v Slovenskih goricah,2212
46.012224,15.169373,,Point,Šentjanž,8297
46.56547,15.044403,,Point,Šentjanž pri Dravogradu,2373
45.842673,15.337601,,Point,Šentjernej,8310
46.217377,15.400085,,Point,Šentjur,3230
46.167349,15.350647,,Point,Šentrupert pri Laškem,3271
45.978117,15.090752,,Point,Šentrupert na Dolenjskem,8232
45.954014,14.837036,,Point,Šentvid pri Stični,1296
45.909122,15.288849,,Point,Škocjan,8275
45.574639,13.792648,,Point,Škofije,6281
46.167943,14.305573,,Point,Škofja Loka,4220
46.26724,15.282669,,Point,Škofja vas,3211
45.984558,14.578857,,Point,Škofljica,1291
45.500572,13.716431,,Point,Šmarje,6274
45.974538,14.605637,,Point,Šmarje-Sap,1293
46.231628,15.517502,,Point,Šmarje pri Jelšah,3240
45.863716,15.230484,,Point,Šmarješke Toplice,8220
46.444954,15.536728,,Point,Šmartno na Pohorju,2315
46.285275,14.885101,,Point,Šmartno ob Dreti,3341
46.328913,15.037537,,Point,Šmartno ob Paki,3327
46.038923,14.81781,,Point,Šmartno pri Litiji,1275
46.491302,15.102081,,Point,Šmartno pri Slovenj Gradcu,2383
46.295713,15.24559,,Point,Šmartno pri Rožni dolini,3201
46.379623,15.04818,,Point,Šoštanj,3325
45.823057,13.84346,,Point,Štanjel,6222
46.224978,15.308762,,Point,Štore,3220
46.237328,15.013504,,Point,Tabor,3304
46.230678,15.298462,,Point,Teharje,3221
46.657449,16.086044,,Point,Tišina,9251
46.186961,13.73291,,Point,Tolmin,5220
46.399988,15.02655,,Point,Topolšica,3326
46.602988,15.103455,,Point,Trbonje,2371
46.157956,15.052643,,Point,Trbovlje,1420
45.912466,15.150146,,Point,Trebelno,8231
45.909361,15.006981,,Point,Trebnje,8210
45.975253,13.739777,,Point,Trnovo pri Novi Gorici,5252
46.523438,15.882797,,Point,Trnovska vas,2254
46.188863,14.886475,,Point,Trojane,1222
46.135598,14.563751,,Point,Trzin,1236
46.36541,14.304886,,Point,Tržič,4290
45.96022,15.196152,,Point,Tržišče,8295
